brand_code_uc,brand_descr,BrandCode,BrandDesc,BrandVariant,AdvParentDesc,AdvSubsidDesc,matching_column,distance
500426,3M COMMAND,5373135,3M COMMAND OFFICE-HOUSEHOLD SUPLS,3M COMMAND OFFICE-HOUSEHOLD SUPLS PICTURE HANGING STRIPS,3M CO,3M CO,BrandDesc,0.587295346
500426,3M COMMAND,1585163,3M COMMAND OFFICE-HOUSEHOLD SUPLS,3M COMMAND OFFICE-HOUSEHOLD SUPLS STRIPS,3M CO,3M CO,BrandDesc,0.587295346
500426,3M COMMAND,1584099,3M COMMAND OFFICE-HOUSEHOLD SUPLS,3M COMMAND OFFICE-HOUSEHOLD SUPLS,3M CO,3M CO,BrandDesc,0.587295346
500426,3M COMMAND,596273,3M COMMAND OFFICE-HOUSEHOLD SUPLS,3M COMMAND OFFICE-HOUSEHOLD SUPLS HOOKS,3M CO,3M CO,BrandDesc,0.587295346
710197,CONSUMER CELLULAR,4294743,CONSUMER CELLULAR TELEPH SVCS-WIRELESS,CONSUMER CELLULAR TELEPH SVCS-WIRELESS WEB ACCESS,CONSUMER CELLULAR INC,CONSUMER CELLULAR INC,BrandDesc,0.541852158
710197,CONSUMER CELLULAR,4294741,CONSUMER CELLULAR TELEPH SVCS-WIRELESS,CONSUMER CELLULAR TELEPH SVCS-WIRELESS TEXT MESSAGING,CONSUMER CELLULAR INC,CONSUMER CELLULAR INC,BrandDesc,0.541852158
710197,CONSUMER CELLULAR,1527568,CONSUMER CELLULAR TELEPH SVCS-WIRELESS,CONSUMER CELLULAR TELEPH SVCS-WIRELESS,CONSUMER CELLULAR INC,CONSUMER CELLULAR INC,BrandDesc,0.541852158
710197,CONSUMER CELLULAR,5386986,CONSUMER CELLULAR UNLIMITED TELEPH SVCS-WIRELESS,CONSUMER CELLULAR UNLIMITED TELEPH SVCS-WIRELESS TEXT MESSAGING,CONSUMER CELLULAR INC,CONSUMER CELLULAR INC,BrandDesc,0.59980005
710197,CONSUMER CELLULAR,5386984,CONSUMER CELLULAR UNLIMITED TELEPH SVCS-WIRELESS,CONSUMER CELLULAR UNLIMITED TELEPH SVCS-WIRELESS ,CONSUMER CELLULAR INC,CONSUMER CELLULAR INC,BrandDesc,0.59980005
535500,CRAYOLA,50842,CRAYOLA CRAYONS,CRAYOLA CRAYONS,HALLMARK CARDS INC,CRAYOLA LLC,BrandDesc,0.539366884
535500,CRAYOLA,124907,CRAYOLA CRAFT SUPLS,CRAYOLA CRAFT SUPLS,HALLMARK CARDS INC,CRAYOLA LLC,BrandDesc,0.612826571
535500,CRAYOLA,3776612,CRAYOLA EXPERIENCE MUSEUM,CRAYOLA EXPERIENCE MUSEUM,HALLMARK CARDS INC,CRAYOLA LLC,BrandDesc,0.6378478
535500,CRAYOLA,4904389,CRAYOLA EXPERIENCE CRAYONS,CRAYOLA EXPERIENCE CRAYONS ,HALLMARK CARDS INC,CRAYOLA LLC,BrandDesc,0.64069034
535500,CRAYOLA,5493925,CRAYOLA CRAYON MELTER CRAFT SUPLS,CRAYOLA CRAYON MELTER CRAFT SUPLS ,HALLMARK CARDS INC,CRAYOLA LLC,BrandDesc,0.679764356
544907,DURACELL,57150,DURACELL BATTERIES,DURACELL BATTERIES ,BERKSHIRE HATHAWAY INC,DURACELL US OPERATIONS INC,BrandDesc,0.546946762
545320,DYSON,5316670,DYSON VACUUM CLEANERS,DYSON VACUUM CLEANERS CORDLESS,DYSON LTD,DYSON INC,BrandDesc,0.648676267
545320,DYSON,1485642,DYSON VACUUM CLEANERS,DYSON VACUUM CLEANERS,DYSON LTD,DYSON INC,BrandDesc,0.648676267
545320,DYSON,4384373,DYSON V6 VACUUM CLEANERS,DYSON V6 VACUUM CLEANERS CORDLESS,DYSON LTD,DYSON INC,BrandDesc,0.672186708
545320,DYSON,5367922,DYSON V10 VACUUM CLEANERS,DYSON V10 VACUUM CLEANERS CYCLONE/CORDLESS,DYSON LTD,DYSON INC,BrandDesc,0.674185115
545320,DYSON,5016832,DYSON SUPERSONIC HAIR DRYER,DYSON SUPERSONIC HAIR DRYER,DYSON LTD,DYSON INC,BrandDesc,0.677683079
545320,DYSON,4876221,DYSON CINETIC VACUUM CLEANERS,DYSON CINETIC VACUUM CLEANERS BIG BALL,DYSON LTD,DYSON INC,BrandDesc,0.680643425
548436,ENERGIZER,57321,ENERGIZER BATTERIES,ENERGIZER BATTERIES,ENERGIZER HOLDINGS INC,ENERGIZER BRANDS LLC,BrandDesc,0.536921738
548436,ENERGIZER,1140257,ENERGIZER MAX BATTERIES,ENERGIZER MAX BATTERIES,ENERGIZER HOLDINGS INC,ENERGIZER BRANDS LLC,BrandDesc,0.605827131
548436,ENERGIZER,2709930,ENERGIZER ULTIMATE LITHIUM BATTERIES,ENERGIZER ULTIMATE LITHIUM BATTERIES,ENERGIZER HOLDINGS INC,ENERGIZER BRANDS LLC,BrandDesc,0.66184969
558929,GENERAL ELECTRIC,2450408,GE MANUFACTURERS-INDUSTRIAL,GE MANUFACTURERS-INDUSTRIAL,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,AdvParentDesc,0
558929,GENERAL ELECTRIC,370626,GE MEDICAL EQUIP,GE MEDICAL EQUIP,GENERAL ELECTRIC CO,GE HEALTHCARE INC,AdvParentDesc,0
558929,GENERAL ELECTRIC,964576,GE MANUFACTURERS-GENERAL,GE MANUFACTURERS-GENERAL,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,AdvParentDesc,0
558929,GENERAL ELECTRIC,984,GE ENGINES-AIRCRAFT,GE ENGINES-AIRCRAFT JET,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,AdvParentDesc,0
558929,GENERAL ELECTRIC,57753,GENERAL ELECTRIC CO CORP-GEN,GENERAL ELECTRIC CO CORP-GEN,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,BrandDesc,0.412619117
558929,GENERAL ELECTRIC,206953,PORTLAND GENERAL ELECTRIC UTILITY CO,PORTLAND GENERAL ELECTRIC UTILITY CO,PORTLAND GENERAL ELECTRIC CO,PORTLAND GENERAL ELECTRIC CO,BrandDesc,0.583467496
560405,GLADE,3274750,GLADE CANDLES,GLADE CANDLES CASHMERE WOODS,SC JOHNSON & SON INC,SC JOHNSON & SON INC,BrandDesc,0.566183845
560405,GLADE,1436616,GLADE CANDLES,GLADE CANDLES,SC JOHNSON & SON INC,SC JOHNSON & SON INC,BrandDesc,0.566183845
560405,GLADE,20977,GLADE AIR FRESHENERS,GLADE AIR FRESHENERS,SC JOHNSON & SON INC,SC JOHNSON & SON INC,BrandDesc,0.645662899
560405,GLADE,5256741,GLADE PLUG-INS AIR FRESHENERS,GLADE PLUG-INS AIR FRESHENERS SCENTED GEL/CAR,SC JOHNSON & SON INC,SC JOHNSON & SON INC,BrandDesc,0.679222413
560405,GLADE,5254173,GLADE PLUG-INS AIR FRESHENERS,GLADE PLUG-INS AIR FRESHENERS CAR,SC JOHNSON & SON INC,SC JOHNSON & SON INC,BrandDesc,0.679222413
560405,GLADE,3086298,GLADE HOLIDAY COLLECTION CANDLES,GLADE HOLIDAY COLLECTION CANDLES,SC JOHNSON & SON INC,SC JOHNSON & SON INC,BrandDesc,0.684318669
569063,HEWLETT PACKARD,4862785,HEWLETT PACKARD ENTERPRISE COMPUTER SYS,HEWLETT PACKARD ENTERPRISE COMPUTER SYS ,HEWLETT PACKARD ENTERPRISE CO,HEWLETT PACKARD ENTERPRS DVLPMNT LP,BrandDesc,0.592857937
569063,HEWLETT PACKARD,5412278,HEWLETT PACKARD ENTERPRISE ONESPHERE COMPUTER SFTWRE,HEWLETT PACKARD ENTERPRISE ONESPHERE COMPUTER SFTWRE ,HEWLETT PACKARD ENTERPRISE CO,HEWLETT PACKARD ENTERPRS DVLPMNT LP,BrandDesc,0.635584569
569063,HEWLETT PACKARD,4742089,HP SPECTRE COMPUTER SYS,HP SPECTRE COMPUTER SYS X360/LAPTOP,HP INC,HP DEVELOPMENT CO LP,BrandDesc,0.6992172
569063,HEWLETT PACKARD,5492786,HP CHROMEBOOK COMPUTER SYS,HP CHROMEBOOK COMPUTER SYS X360/14,HP INC,HP DEVELOPMENT CO LP,AdvParentDesc,0
569063,HEWLETT PACKARD,5483249,HP CHROMEBOOK COMPUTER SYS,HP CHROMEBOOK COMPUTER SYS X2/LAPTOP,HP INC,HP DEVELOPMENT CO LP,AdvParentDesc,0
569063,HEWLETT PACKARD,4308870,HP SPROUT COMPUTER SYS,HP SPROUT COMPUTER SYS ,HP INC,HP DEVELOPMENT CO LP,BrandDesc,0.6984031
569063,HEWLETT PACKARD,5280158,HP CHROMEBOOK 11 COMPUTER SYS,HP CHROMEBOOK 11 COMPUTER SYS G5/LAPTOP,HP INC,HP DEVELOPMENT CO LP,AdvParentDesc,0
569063,HEWLETT PACKARD,5174348,HP ELITEBOOK COMPUTER SYS,HP ELITEBOOK COMPUTER SYS LAPTOP/X360,HP INC,HP DEVELOPMENT CO LP,AdvParentDesc,0
581335,KINGSFORD,5191967,KINGSFORD CHARCOAL,KINGSFORD CHARCOAL ORIGINAL/BRIQUETS,CLOROX CO,KINGSFORD PRODUCTS CO LLC,BrandDesc,0.527524998
581335,KINGSFORD,4212809,KINGSFORD CHARCOAL,KINGSFORD CHARCOAL,CLOROX CO,KINGSFORD PRODUCTS CO LLC,BrandDesc,0.527524998
581335,KINGSFORD,58680,KINGSFORD CHARCOAL,KINGSFORD CHARCOAL BRIQUETS,CLOROX CO,KINGSFORD PRODUCTS CO LLC,BrandDesc,0.527524998
581335,KINGSFORD,5179836,KINGSFORD LONG-BURNING CHARCOAL,KINGSFORD LONG-BURNING CHARCOAL BRIQUETS,CLOROX CO,KINGSFORD PRODUCTS CO LLC,BrandDesc,0.63245533
581335,KINGSFORD,58733,KINGSFORD MATCH LIGHT CHARCOAL,KINGSFORD MATCH LIGHT CHARCOAL BRIQUETS,CLOROX CO,KINGSFORD PRODUCTS CO LLC,BrandDesc,0.648642121
599631,MOBIL 1,5167122,MOBIL 1 MOTOR OIL,MOBIL 1 MOTOR OIL ANNUAL PROTECTION,EXXON MOBIL CORP,EXXON MOBIL CORP,BrandDesc,0.557659234
599631,MOBIL 1,1796805,MOBIL 1 LUBE EXPRESS SHOP-AUTO CARE-REPAIR,MOBIL 1 LUBE EXPRESS SHOP-AUTO CARE-REPAIR,EXXON MOBIL CORP,EXXON MOBIL CORP,BrandDesc,0.663861229
615969,PEOPLE,60378,PEOPLE MAGAZINE,PEOPLE MAGAZINE ,MEREDITH CORP,TIME INC,BrandDesc,0.561393946
615969,PEOPLE,3722,PEOPLE BOOK-HARDCOVER,PEOPLE BOOK-HARDCOVER ,MEREDITH CORP,TIME INC,BrandDesc,0.590742409
617480,PHILIPS NORELCO,5020397,PHILIPS NORELCO RAZOR-ELECTRIC,PHILIPS NORELCO RAZOR-ELECTRIC ONEBLADE,ROYAL PHILIPS ELECTRONICS NV,PHILIPS CONSUMER LIFESTYLE NA,BrandDesc,0.46295285
617480,PHILIPS NORELCO,59808,PHILIPS NORELCO RAZOR-ELECTRIC,PHILIPS NORELCO RAZOR-ELECTRIC,ROYAL PHILIPS ELECTRONICS NV,PHILIPS CONSUMER LIFESTYLE NA,BrandDesc,0.46295285
617497,PHILIPS SONICARE,3512146,PHILIPS SONICARE TOOTHBRUSH-ELECTRIC,PHILIPS SONICARE TOOTHBRUSH-ELECTRIC DIAMONDCLEAN,ROYAL PHILIPS ELECTRONICS NV,PHILIPS CONSUMER LIFESTYLE NA,BrandDesc,0.484430393
617497,PHILIPS SONICARE,329502,PHILIPS SONICARE TOOTHBRUSH-ELECTRIC,PHILIPS SONICARE TOOTHBRUSH-ELECTRIC,ROYAL PHILIPS ELECTRONICS NV,PHILIPS CONSUMER LIFESTYLE NA,BrandDesc,0.484430393
635032,SCOTCH,4969501,SCOTCH BLUE PAINTERS TAPE,SCOTCH BLUE PAINTERS TAPE PLATINUM,3M CO,3M CO,BrandDesc,0.664384199
635032,SCOTCH,1287511,SCOTCH BLUE PAINTERS TAPE,SCOTCH BLUE PAINTERS TAPE,3M CO,3M CO,BrandDesc,0.664384199
